campaign,campaign_id,name_has_plus
D-LC-SP-100 percent linen curtains-(Linen)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x84-NATURAL-2-PCS,246809318711073,False
D-LC-SP-108 linen curtains 2 panel set-(Linen)-LSV-Exact-Conv-DO-LINEN-CURTAIN-52x108-BEIGE-2-PCS,119801930009472,False
D-LC-SP-120 inch linen curtains-(Linen)-MSV-Exact-Conv-DO-LINEN-CURTAIN-52x120-LINEN-2-PCS,188681603054455,False
D-LC-SP-52 inch blackout curtains-(Blackout)-LSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,239086325660463,False
D-LC-SP-63 inch blackout curtains 2 panel set-(Blackout)-LSV-Exact-Conv-DO-LINEN-CURTAIN-52x63-LINEN-2-PCS,152902636904074,False
D-LC-SP-63 inch curtains blackout-(Blackout)-LSV-Exact-Conv-DO-LINEN-CURTAIN-52x63-LINEN-2-PCS,168855784342674,False
D-LC-SP-72 blackout curtains 2 panel set-(Blackout)-LSV-Exact-Conv-DO-LINEN-CURTAIN-52x72-LIGHT-BEIGE-2-PCS,75667954302920,False
D-LC-SP-72 wide blackout curtains-(Blackout)-MSV-Exact-Conv-DO-LINEN-CURTAIN-52x72-LIGHT-BEIGE-2-PCS,148534951725174,False
D-LC-SP-96 inch faux linen curtains 2 panel-(Linen)-LSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-BEIGE-2-PCS,151285604944967,False
D-LC-SP-B0F6366Z7N-Exact-Def-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,152426759167170,False
D-LC-SP-B0F6371Q67-Exact-Def-DO-LINEN-CURTAIN-52x108-BEIGE-2-PCS,136720262612727,False
D-LC-SP-B0F6381MZ1-Exact-Def-DO-LINEN-CURTAIN-52x63-LINEN-2-PCS,238699151815210,False
D-LC-SP-B0F6392CDG-Exact-Def-DO-LINEN-CURTAIN-52x96-IVORY-2-PCS,154523704593607,False
D-LC-SP-B0F639CWS1-Exact-Def-DO-LINEN-CURTAIN-52x84-NATURAL-2-PCS,124101735701689,False
D-LC-SP-BROAD-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x90-LINEN-2-PCS)-(curtains 90 inch long),66221984249201,False
D-LC-SP-BROAD-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(96 curtains 2 panel set),40205263587865,False
D-LC-SP-BROAD-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(curtain 96 inch long),243712707303204,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-IVORY-2-PCS)-(ivory curtains blackout),43191694256890,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-LIGHT-BEIGE-2-PCS)-(light beige blackout curtains),64289593238423,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-LIGHT-GREY-2-PCS)-(90 blackout curtains),227563825359904,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-LIGHT-GREY-2-PCS)-(90 inch blackout curtains),24995047999132,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x90-LINEN-2-PCS)-(blackout curtains 90 inch long),136885228525617,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(blackout curtains 96),46278384896707,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory blackout curtains 96 inch long),103307021229346,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout|Bedroom)-(52x108-LIGHT-GREY-2-PCS)-(blackout curtains for bedroom 108 inch long),202149163556179,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x90-BEIGE-2-PCS)-(beige blackout curtains for bedroom),161256722356507,False
D-LC-SP-BROAD-RAN-DO-(Curtains|Room Darkening)-(LINEN-CURTAIN-52x96-LINEN-2-PCS)-(room darkening curtains 96 inch long),130848775277141,False
D-LC-SP-BROAD-RAN-DO-(Linen|Curtains)-(LINEN-CURTAIN-52x108-IVORY-2-PCS)-(linen curtains 108 inch long),176093126020882,False
D-LC-SP-BROAD-RAN-DO-(Linen|Curtains)-(LINEN-CURTAIN-52x108-LIGHT-GREY-2-PCS)-(108 inch curtains linen),55709571566761,False
