change_id,flag,decision,campaign,entity_type,entity,match_type,attribute,placement,new_value,prior_value,mechanism_metric,mechanism_level,mechanism_target,mechanism_from,check_date,outcome_keyword,outcome_rank,outcome_bound,outcome_date,fallback,rationale
L0001,ok,refund gate pause,D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(blackout curtains 96),campaign,D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(blackout curtains 96),,state,,paused,enabled,spend_wk,campaign,0,142.28,2026-09-15,,,"spend on these 215 campaigns falls to $0; units cleared per week holds, because these SKUs return 37.5-45.5% of what they sell",2026-09-22,release in tranche C when the lab dip and re-shot images land; re-enable at the prior budget and read refund rate before any bid move,"12 BLOCK-tier SKUs refund at 37.5-45.5% on a reliable sample. Effective ad cost per unit actually cleared is $20.66-$23.67 against a $19.69 ceiling, so every incremental unit loses money. Return reason on file is ""colour lighter than pictures"" and these are the affected colourways and drops."
L0002,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(blackout curtains 96 inches long),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(blackout curtains 96 inches long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0003,ok,refund gate pause,D-LC-SP-black out curtains 96 inch long-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-BEIGE-2-PCS,campaign,D-LC-SP-black out curtains 96 inch long-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-BEIGE-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0004,ok,refund gate pause,DLC - SP - Auto - LINEN-CURTAIN-52x84-G2,campaign,DLC - SP - Auto - LINEN-CURTAIN-52x84-G2,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0005,ok,refund gate pause,DLC - SP - Auto -DO- LINEN-CURTAIN-52x96-G1,campaign,DLC - SP - Auto -DO- LINEN-CURTAIN-52x96-G1,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0006,ok,refund gate pause,DLC - SP - Auto -DO- LINEN-CURTAIN-52x96-G2,campaign,DLC - SP - Auto -DO- LINEN-CURTAIN-52x96-G2,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0007,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0008,ok,refund gate pause,D-LC-SP-black out curtains-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-black out curtains-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0009,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-LIGHT-BEIGE-2-PCS-B0F639YZ3D - beige linen blackout curtains,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-LIGHT-BEIGE-2-PCS-B0F639YZ3D - beige linen blackout curtains,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0010,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 inch blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 inch blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0011,ok,refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(curtains 96 inch long),campaign,D-LC-SP-PHRASE-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(curtains 96 inch long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0012,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-NATURAL-2-PCS-B0F6366Z7N - blackout linen curtains 96 inches long,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-NATURAL-2-PCS-B0F6366Z7N - blackout linen curtains 96 inches long,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0013,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(blackout curtains 120 inches long),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(blackout curtains 120 inches long),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0014,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 inch curtains blackout),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 inch curtains blackout),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0015,ok,refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - curtains for living room linen,campaign,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - curtains for living room linen,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0016,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0017,ok,refund gate pause,D-LC-SP-blackout curtains for bedrooms-(Blackout)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,D-LC-SP-blackout curtains for bedrooms-(Blackout)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0018,ok,refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch blackout curtains),campaign,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0019,ok,refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(96 inch blackout curtains),campaign,D-LC-SP-PHRASE-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(96 inch blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0020,ok,refund gate pause,D-LC-SP-BROAD-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(natural linen blackout curtains),campaign,D-LC-SP-BROAD-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(natural linen blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0021,ok,refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(linen blackout curtains),campaign,D-LC-SP-PHRASE-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(linen blackout curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
L0022,ok,refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch curtains),campaign,D-LC-SP-PHRASE-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch curtains),,state,,paused,enabled,spend_wk,campaign,,,2026-09-15,,,,,,
