decision,campaign,entity_type,entity,match_type,attribute,placement,new_value,prior_value,mechanism_metric,mechanism_level,mechanism_target,mechanism_from,check_date,outcome_keyword,outcome_rank,outcome_bound,outcome_date,fallback,rationale
refund gate pause,D-LC-SP-BROAD-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(blackout curtains 96),campaign,,,state,,paused,enabled,spend_wk,campaign,0,1.16,2026-09-16,,,"spend on these 215 campaigns falls to 0; units cleared per week holds, because these SKUs return 37.5-45.5% of what they sell",2026-09-23,release in tranche C when the lab dip and re-shot images land; re-enable at the prior budget and read refund rate before any bid move,"12 BLOCK-tier SKUs refund at 37.5-45.5% on a reliable sample. Effective ad cost per unit actually cleared is $20.66-$23.67 against a $19.69 ceiling, so every incremental unit loses money. Return reason on file is ""colour lighter than pictures"" and these are the affected colourways and drops."
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(blackout curtains 96 inches long),campaign,,,state,,paused,enabled,spend_wk,campaign,0,3.86,2026-09-16,,,,,,
refund gate pause,D-LC-SP-black out curtains 96 inch long-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-BEIGE-2-PCS,campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,DLC - SP - Auto - LINEN-CURTAIN-52x84-G2,campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,DLC - SP - Auto -DO- LINEN-CURTAIN-52x96-G1,campaign,,,state,,paused,enabled,spend_wk,campaign,0,0.89,2026-09-16,,,,,,
refund gate pause,DLC - SP - Auto -DO- LINEN-CURTAIN-52x96-G2,campaign,,,state,,paused,enabled,spend_wk,campaign,0,1.39,2026-09-16,,,,,,
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-LC-SP-black out curtains-(Blackout)-VHSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,,,state,,paused,enabled,spend_wk,campaign,0,1.37,2026-09-16,,,,,,
refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-LIGHT-BEIGE-2-PCS-B0F639YZ3D - beige linen blackout curtains,campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 inch blackout curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,9,2026-09-16,,,,,,
refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(curtains 96 inch long),campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x96-NATURAL-2-PCS-B0F6366Z7N - blackout linen curtains 96 inches long,campaign,,,state,,paused,enabled,spend_wk,campaign,0,1.8,2026-09-16,,,,,,
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(blackout curtains 120 inches long),campaign,,,state,,paused,enabled,spend_wk,campaign,0,14.03,2026-09-16,,,,,,
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 inch curtains blackout),campaign,,,state,,paused,enabled,spend_wk,campaign,0,6.34,2026-09-16,,,,,,
refund gate pause,D-Linen Curtains-SP-Exact-Ranking-Fixed-LINEN-CURTAIN-52x84-NATURAL-2-PCS-B0F639CWS1 - curtains for living room linen,campaign,,,state,,paused,enabled,spend_wk,campaign,0,10.89,2026-09-16,,,,,,
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x120-NATURAL-2-PCS)-(120 blackout curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,3.66,2026-09-16,,,,,,
refund gate pause,D-LC-SP-blackout curtains for bedrooms-(Blackout)-HSV-Exact-Conv-DO-LINEN-CURTAIN-52x96-NATURAL-2-PCS,campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch blackout curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-BEIGE-2-PCS)-(96 inch blackout curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-LC-SP-BROAD-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(natural linen blackout curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Linen|Curtains|Blackout)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(linen blackout curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,0,2026-09-16,,,,,,
refund gate pause,D-LC-SP-PHRASE-RAN-DO-(Curtains)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch curtains),campaign,,,state,,paused,enabled,spend_wk,campaign,0,0.7,2026-09-16,,,,,,
refund gate pause,D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(96 inch curtains 2 panel set blackout),campaign,,,state,,paused,enabled,spend_wk,campaign,0,1.09,2026-09-16,,,,,,
