decision,campaign,entity_type,entity,match_type,attribute,placement,new_value,prior_value,mechanism_metric,mechanism_level,mechanism_target,mechanism_from,check_date,outcome_keyword,outcome_rank,outcome_bound,outcome_date,fallback,rationale
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,campaign,,,create_campaign,,26,none,spend_wk,campaign,182,0,2026-09-16,,,the 15 new SP campaigns spend to their $256/day cap within two weeks and return a blended cost per sale under 19.69,2026-09-23,pause any new campaign whose cost per sale passes 19.69 at the outcome read; hold the rest one further cycle before judging,"Fifteen campaigns opening the width the account does not have: room, size and head roots on Broad, the working Phrase default, Exact reserved for the 17 terms at 25%+ market conversion, four isolated Auto lanes and two product-targeting lanes. Every placement opens at 0% because the 23 August listing change contaminated the placement evidence."
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,ad_group,,,create_ad_group,,0.53,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,campaign,,,placement_multiplier,placementTop,0,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,campaign,,,placement_multiplier,placementRestOfSearch,0,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,campaign,,,placement_multiplier,placementProductPage,0,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x84-IVORY-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x84-IVORY-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x84-LIGHT-BEIGE-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x84-LIGHT-BEIGE-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x72-LIGHT-BEIGE-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x72-LIGHT-BEIGE-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x120-IVORY-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x120-IVORY-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x72-IVORY-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x72-IVORY-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x90-LIGHT-BEIGE-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x90-LIGHT-BEIGE-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x63-LIGHT-BEIGE-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x63-LIGHT-BEIGE-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
new SP campaigns — tranche A,SL-LC-SP-BROAD-ROOM,product_ad,LINEN-CURTAIN-52x90-IVORY-2-PCS,,create_product_ad,,LINEN-CURTAIN-52x90-IVORY-2-PCS,none,spend_wk,campaign,,0,2026-09-16,,,,,,
