decision,campaign,entity_type,entity,match_type,attribute,placement,new_value,prior_value,mechanism_metric,mechanism_level,mechanism_target,mechanism_from,check_date,outcome_keyword,outcome_rank,outcome_bound,outcome_date,fallback,rationale
confirmed pause,SL-QS - navy quilt king - [Quilt|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-NAVY-BLUE,campaign,,,state,,paused,enabled,spend_wk,campaign,0,28.98,2026-09-16,,,"spend on these 45 entities falls to 0; orders per week hold, because none of them is returning a sale inside the $13.20 cap",2026-09-23,re-enable at the prior bid only where total product orders fall more than 15% below the 7-day average over five consecutive days,Each of these passed the 15-click line in the 7-day window and either returned no order at all or cost more than $13.20 per order — the forward-cash cap on this clearance product. Paused rather than re-bid because the gap is too wide for a bid step to close.
confirmed pause,SL-QS - green quilt queen - [Quilt|Queen] - Phrase - Conv - DO - SL-QUILT-SET-QUEEN-SAGE-GREEN,campaign,,,state,,paused,enabled,spend_wk,campaign,0,33.39,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-PHRASE-COVERLET,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,20.33,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-PHRASE-CORE,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,32,2026-09-16,,,,,,
confirmed pause,D-QS-SP-PHRASE-CATCH ALL-TWIN-G,campaign,,,state,,paused,enabled,spend_wk,campaign,0,54.05,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-PHRASE-SIZE-B,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,29.02,2026-09-16,,,,,,
confirmed pause,SL-QS - B0DJ6WWZP2  - PAT - MS - DO - SL-QUILT-SET-QUEEN-NAVY-BLUE,campaign,,,state,,paused,enabled,spend_wk,campaign,0,37.82,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-AUTO-SUBS,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,29.63,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-AUTO-SUBS,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,23.47,2026-09-16,,,,,,
confirmed pause,SL-QS - bedspread king size - [Bedspread|King] - Exact - Ran - DO - SL-QUILT-SET-KING-BLACK,campaign,,,state,,paused,enabled,spend_wk,campaign,0,65.41,2026-09-16,,,,,,
confirmed pause,SL-QS - quilt set king size - [Quilt|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-WHITE,campaign,,,state,,paused,enabled,spend_wk,campaign,0,44.93,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-PHRASE-SIZE-A,keyword,king bedspreads,PHRASE,state,,paused,enabled,spend_wk,campaign,0,35.28,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-PHRASE-SIZE-A,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,16.76,2026-09-16,,,,,,
confirmed pause,SL-QS - king quilt bedding set - [Quilt|King] - Exact - Ran - DO - SL-QUILT-SET-KING-BLACK,campaign,,,state,,paused,enabled,spend_wk,campaign,0,15.88,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-BROAD-XCAT-ES,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,21.13,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-BROAD-XCAT-ES,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,14.66,2026-09-16,,,,,,
confirmed pause,D-QS-SP-AUTO-KING-G,product_target,loose-match,,state,,paused,enabled,spend_wk,campaign,0,112.49,2026-09-16,,,,,,
confirmed pause,D-QS-SP-AUTO-KING-G,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,21.05,2026-09-16,,,,,,
confirmed pause,SL-QS - oversize king bedspread - [Bedspread|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-LIGHT-GREY,keyword,oversize king bedspread,PHRASE,state,,paused,enabled,spend_wk,campaign,0,78.48,2026-09-16,,,,,,
confirmed pause,SL-QS - oversize king bedspread - [Bedspread|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-LIGHT-GREY,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,78.48,2026-09-16,,,,,,
confirmed pause,SL-QS - oversize king bedspread - [Bedspread|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-LIGHT-GREY,campaign,,,state,,paused,enabled,spend_wk,campaign,0,78.48,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-BROAD-SIZE,keyword,bedding queen size,BROAD,state,,paused,enabled,spend_wk,campaign,0,17.36,2026-09-16,,,,,,
confirmed pause,SL-QS-TESTING-NEW-FEATURE,campaign,,,state,,paused,enabled,spend_wk,campaign,0,110.69,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-AUTO-QUEEN-CATCH ALL,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,72.4,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-AUTO-QUEEN-CATCH ALL,product_ad,,,state,,paused,enabled,spend_wk,campaign,0,165.37,2026-09-16,,,,,,
confirmed pause,SL-QS-TESTING-NEW-FEATURE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,110.69,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-AUTO-SUBS,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,78.31,2026-09-16,,,,,,
confirmed pause,SL-QS-BROAD-LTSF-SL-QUILT-SET-QUEEN-TAUPE-lightweight quilts queen size,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,110.24,2026-09-16,,,,,,
confirmed pause,SL-QS - queen size bed spread - [Bedspread|Queen] - Phrase - Conv - DO - SL-QUILT-SET-QUEEN-WHITE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,62.46,2026-09-16,,,,,,
confirmed pause,SL-QS - quilt set king size - [Quilt|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-WHITE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,44.93,2026-09-16,,,,,,
confirmed pause,SL-QS - white quilt king size - [Quilt|King] - Exact - Ran - DO - SL-QUILT-SET-KING-WHITE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,47.62,2026-09-16,,,,,,
confirmed pause,SL-QS - white king quilt - [Quilt|King] - Exact - Ran - DO - SL-QUILT-SET-KING-WHITE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,24.85,2026-09-16,,,,,,
confirmed pause,SL-QS - navy quilt king - [Quilt|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-NAVY-BLUE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,28.98,2026-09-16,,,,,,
confirmed pause,SL-QS - B0DJ6WWZP2  - PAT - MS - DO - SL-QUILT-SET-QUEEN-NAVY-BLUE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,37.82,2026-09-16,,,,,,
confirmed pause,SL-QS - bedspread king size - [Bedspread|King] - Exact - Ran - DO - SL-QUILT-SET-KING-BLACK,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,65.41,2026-09-16,,,,,,
confirmed pause,SL-QS - green quilt queen - [Quilt|Queen] - Phrase - Conv - DO - SL-QUILT-SET-QUEEN-SAGE-GREEN,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,33.39,2026-09-16,,,,,,
confirmed pause,SL-QS - king quilts for the bed - [Quilt|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-WHITE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,39.01,2026-09-16,,,,,,
confirmed pause,SL-QS - oversize king bedspread - [Bedspread|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-LIGHT-GREY,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,78.48,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-PHRASE-COVERLET,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,37.3,2026-09-16,,,,,,
confirmed pause,D-QS-SP-AUTO-KING-G,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,119.88,2026-09-16,,,,,,
confirmed pause,SL-QS-SP-PHRASE-CORE,ad_group,,,state,,paused,enabled,spend_wk,campaign,0,50.25,2026-09-16,,,,,,
confirmed pause,D-QS-SP-BROAD MODIFIER-(LTSF+TESTING)- SL-QUILT-SET-KING-WHITE-G,campaign,,,state,,paused,enabled,spend_wk,campaign,0,8.66,2026-09-16,,,,,,
confirmed pause,SL-QS - king white quilt - [Quilt|King] - Exact - Ran - DO - SL-QUILT-SET-KING-WHITE,campaign,,,state,,paused,enabled,spend_wk,campaign,0,32.69,2026-09-16,,,,,,
confirmed pause,SL-QS - king quilts for the bed - [Quilt|King] - Phrase - Conv - DO - SL-QUILT-SET-KING-WHITE,campaign,,,state,,paused,enabled,spend_wk,campaign,0,39.01,2026-09-16,,,,,,
