"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Levtex Home Cross Stitch Reversible King/Cal King Quilt Set (106x92in) and 2 Pillow Shams (36x20in) - Stitch Texture - Taupe - Cotton King Size Quilt Bedding Set - Lightweight Soft Pre-Washed","B07NQ1GLWH","https://www.amazon.com/dp/B07NQ1GLWH?psc=1","https://m.media-amazon.com/images/I/81oI4HaV-6L._AC_SY355_.jpg","Levtex Home",133.65,2072,19,"N/A",284115.7,2610.05,191,33874,"US",34.94,2,4.2,767,9,4,"Max&Taffy","Home & Kitchen","Large and Bulky","FBA","18.78 x 10.31 x 13.54 in",9.37,"N/A","Mar 12, 2021","Sponsored Brand Video","No",66,"Max&Taffy"
2.,"Levtex Home Pisa Reversible King/Cal King Quilt Set (106x92in) with 2 Pillow Shams (36x20in) - Floral Peacock - Grey, Taupe - 100% Cotton King Size Quilt Bedding Set - Lightweight, Soft, Pre-Washed","B082LPRVFM","https://www.amazon.com/dp/B082LPRVFM?psc=1","https://m.media-amazon.com/images/I/915bVORu+NL._AC_SY355_.jpg","Levtex Home",144.49,123,30,"N/A",17409.94,4562.29,197,218090,"US",35.78,3,4.6,265,9,1,"Max&Taffy","Home & Kitchen","Large and Bulky","FBA","16.50 x 10.00 x 14.00 in",8.25,"N/A","Dec 10, 2019","Sponsored Brand Video","No",81,"Max&Taffy"
3.,"Levtex Home - Ophelia Quilt Set - King Quilt and Two King Shams - Floral - Taupe Grey Cream Blush - Quilt (106x92in.) and Shams (20x36in.) - Reversible - Rayon/Cotton","B0BGT78Y76","https://www.amazon.com/dp/B0BGT78Y76?psc=1","https://m.media-amazon.com/images/I/91e9MrACNcL._AC_SY355_.jpg","Levtex Home",143.99,546,22,50,68461.74,3687.81,166,154489,"US",37.09,2,4.5,190,9,4,"Max&Taffy","Home & Kitchen","Large and Bulky","FBA","18.10 x 9.50 x 13.80 in",9.4,"N/A","Sep 29, 2022","Sponsored Brand Video","No",48,"Max&Taffy"
4.,"($) White Queen Quilt Bedding Set with 2 Pillow Shams, White Quilts Full Size","B00SFFOFY4","https://www.amazon.com/dp/B00SFFOFY4?psc=1","https://m.media-amazon.com/images/I/81Icf0a1kML._AC_SY355_.jpg","Southshore Fine Living, Inc.",54.99,9580,303,300,519647.93,16672.36,73,6682,"US",17.72,3,4.6,13910,9,97,"SouthShore Fine Living, Inc.","Home & Kitchen","Large Standard-Size","FBA","15.87 x 7.09 x 10.87 in",7.23,"N/A","Jan 19, 2015","Sponsored","No",140,"SouthShore Fine Living, Inc."
5.,"($) Davulos Queen Quilt Bedding Set, White Ultrasonic Full/Queen Quilt Set Reversible Microfiber Bedspread, Lightweight Soft Modern Geometric Coverlet Set for All Seasons(1 Quilt, 2 Pillow Shams)","B0DBVQ1LBS","https://www.amazon.com/dp/B0DBVQ1LBS?psc=1","https://m.media-amazon.com/images/I/81TsPxo1fTL._AC_SY355_.jpg","Davulos",23.99,3626,482,600,98349.8,11326.65,191,14287,"CN",11.58,2,4.5,649,8,42,"FANNOLI","Home & Kitchen","Large Standard-Size","FBA","13.62 x 5.71 x 10.47 in",4.45,"N/A","Aug 1, 2024","Sponsored","No",25,"FANNOLI"
6.,"($) Secgo King Size Comforter Set- 100% Cotton Quilt King Size Set, Green, Sage bedspreads (96 * 108 Inch) with 2 Pillow Shams, Patchwork Reversible Lightweight Bedding","B091CBY73X","https://www.amazon.com/dp/B091CBY73X?psc=1","https://m.media-amazon.com/images/I/810qfdjn0qL._AC_SY355_.jpg","Secgo",85.49,4961,400,400,546681.75,36025.2,164,8178,"CN",24.04,2,4.6,6897,6,72,"Brindille","Home & Kitchen","Large Standard-Size","FBA","17.09 x 4.61 x 12.56 in",7.85,"N/A","May 10, 2021","Sponsored","No",64,"Brindille"
7.,"($) SONORO KATE 100% Cotton Paisley Quilt Set Queen Size, Cozy Lightweight","B0G6DH2Z1G","https://www.amazon.com/dp/B0G6DH2Z1G?psc=1","https://m.media-amazon.com/images/I/81bPF7VTQcL._AC_SY355_.jpg","SONORO KATE",59.99,57,4,"N/A",3430.4,235.96,70,365139,"CN",19.54,1,4.6,568,7,"N/A","SONORO KATE","Home & Kitchen","Large Standard-Size","FBA","16.93 x 5.71 x 13.23 in",5.62,"N/A","Dec 11, 2025","Sponsored","No",9,"SONORO KATE"
8.,"Love's cabin Quilts for Queen Bed Blue Bedspreads - Soft Bed Summer Lightweight Bedspread Comforter - Modern Style Coin Pattern Coverlet for All Season - 3 Pieces (1 Quilt, 2 Pillow Shams)","B08LDD8HBW","https://www.amazon.com/dp/B08LDD8HBW?psc=1","https://m.media-amazon.com/images/I/91rbRjfsNlL._AC_SY355_.jpg","Love's cabin",25.99,32390,1980,2000,1178630.84,52906.18,188,330,"CN",11.63,9,4.6,9247,7,178,"Lovescabin","Home & Kitchen","Large Standard-Size","FBA","14.45 x 7.01 x 7.09 in",5.25,"N/A","Oct 19, 2020",,"No",71,"Lovescabin"
9.,"akkialla Queen Quilt Bedding Set, Olive Green Ultrasonic Full/Queen Quilt Set, Lightweight Soft Bedspread Coverlet, Modern Style Coin Pattern Bed Cover for All Seasons, 3 Piece(1 Quilt, 2 Pillow Shams)","B0D86FWKRW","https://www.amazon.com/dp/B0D86FWKRW?psc=1","https://m.media-amazon.com/images/I/81wzhnilGhL._AC_SY355_.jpg","akkialla",21.99,6835,866,1000,201928.95,19389.86,201,4733,"CN",11.19,1,4.4,2363,7,126,"Joer&Linry","Home & Kitchen","Large Standard-Size","FBA","14.13 x 5.00 x 10.94 in",4.54,"N/A","Jun 26, 2024",,"No",27,"Joer&Linry"
10.,"FLYMME Quilts Queen Size - Ultra Soft Navy Blue Quilt Lightweight Microfiber Bedspreads, Classic Basket Weave Pattern Bedspread Bed Coverlet 3 Pieces for All-Season (1 Quilt, 2 Pillow Shams)","B0D8JF6DDS","https://www.amazon.com/dp/B0D8JF6DDS?psc=1","https://m.media-amazon.com/images/I/81FerbiIQ9L._AC_SY355_.jpg","FLYMME",21.98,5197,710,1000,148568.11,15613.88,190,5183,"CN",12,1,4.3,1377,7,80,"LUULLA","Home & Kitchen","Large Standard-Size","FBA","14.61 x 3.74 x 10.43 in",4.48,"N/A","Jul 1, 2024",,"No",26,"LUULLA"
11.,"Secgo California King Quilt Size - 100% Cotton Oversized California Comforter Set Green Bedding Sets (120 * 110 Inch) with 2 Pillow Shams, Patchwork Reversible Lightweight Bedspread","B09C1TRSP2","https://www.amazon.com/dp/B09C1TRSP2?psc=1","https://m.media-amazon.com/images/I/81pZAhDH7IL._AC_SY355_.jpg","Secgo",119.99,4961,286,200,546681.75,39172.4,181,8178,"CN",31.38,3,4.6,6897,6,72,"Brindille","Home & Kitchen","Large Standard-Size","FBA","17.00 x 6.50 x 11.50 in",9.4,"N/A","Mar 20, 2021","Sponsored Brand Video","No",66,"Brindille"
12.,"WDCOZY Cloud Soft Quilt Set, King Size, Light Beige, 3 Pieces 104x90 inches","B0DJ6WWZP2","https://www.amazon.com/dp/B0DJ6WWZP2?psc=1","https://m.media-amazon.com/images/I/81Vj1MSRN6L._AC_SY355_.jpg","WDCOZY",49.99,5766,156,"N/A",272901.8,7795.77,75,904,"HK",15.81,3,4.3,5268,9,368,"WDCOZY","Home & Kitchen","Large Standard-Size","FBA","17.20 x 7.80 x 7.83 in",5.64,"N/A","Sep 28, 2024",,"No",24,"WDCOZY"
13.,"WONGS BEDDING Beige Quilt Queen Size, Boho Striped Bedspread","B0DFH3X2CH","https://www.amazon.com/dp/B0DFH3X2CH?psc=1","https://m.media-amazon.com/images/I/81CMP4tMLjL._AC_SY355_.jpg","WONGS BEDDING",33.26,2778,331,300,104327.5,11335.9,60,12146,"HK",14.02,2,4.6,1108,8,39,"Wongs bedding USA( Gift shop)","Home & Kitchen","Large Standard-Size","FBA","14.41 x 7.01 x 7.40 in",4.17,"N/A","Nov 14, 2024",,"No",22,"Wongs bedding USA( Gift shop)"
14.,"Bedsure Quilts Queen Size - Grey Bedspreads Queen Size with Basket Weave Pattern, Soft Quilt Bedding Set, Lightweight Comforter Set Coverlet for All Seasons with 2 Pillow Shams (90"" x 96"")","B01DLK7WR4","https://www.amazon.com/dp/B01DLK7WR4?psc=1","https://m.media-amazon.com/images/I/81dhvC1WbLL._AC_SY355_.jpg","Bedsure",33.99,8709,718,800,388282.56,28795.92,188,2806,"US",14.74,1,4.6,18161,9,164,"Bedsure  Collections","Home & Kitchen","Large Standard-Size","FBA","14.61 x 7.44 x 7.72 in",5.58,"N/A","Mar 29, 2016",,"No",126,"Bedsure  Collections"
15.,"($) EVERGRACE 100% Cotton Cross Stitch 3-Piece Quilt Set, King, Powder Blue","B0GYP4VH5B","https://www.amazon.com/dp/B0GYP4VH5B?psc=1","https://m.media-amazon.com/images/I/81qeMhkWFSL._AC_SY355_.jpg","EverGrace",119.99,1480,8,"N/A",185050.47,1044.07,71,22705,"US",34,2,4.5,452,9,20,"EVERGRACEHOME","Home & Kitchen","Large and Bulky","FBA","19.60 x 5.08 x 17.13 in",9.79,"N/A","Apr 27, 2026","Sponsored","No",5,"EVERGRACEHOME"
